0.035	14.54	50.1	3.65	33.7
0.038	11.77	53.5	3.37	35
0.057	12.56	50	3.14	35.2
0.06	14.37	54.5	4.27	36.7
0.062	15.21	57.5	5.03	37.3
0.068	15.11	55.5	4.655	37
0.068	13.82	52.5	3.81	34.9
0.071	13.84	53	3.89	35.8
0.071	12.77	55.1	3.88	36.8
0.073	14.14	54.5	4.2	38
0.076	17.29	58.5	5.92	40.5
0.079	14.64	55	4.43	38
0.079	16.78	58.5	5.745	38.5
0.082	14.4	59.5	5.1	39.1
0.084	14.94	52.5	4.12	37.3
0.084	15.43	54	4.5	37
0.087	14.49	59.5	5.13	38
0.087	.	.	4.54	39
0.09	13.11	55.7	4.07	36.6
0.093	17.25	56	5.41	40
0.093	15.3	56	4.8	38
0.093	14.49	53.5	4.15	39
0.098	14.17	55.4	4.35	38.1
0.101	16.25	55.8	5.06	38.5
0.104	14.5	54	4.23	38.1
0.109	16.4	58	5.52	38.2
0.112	13.84	59	4.82	38
0.117	16.18	57	5.26	40
0.117	14.76	54.9	4.45	37.5
0.123	14.09	62	5.42	40.5
0.128	14.86	58	5	38.8
0.134	14.46	58.5	4.95	40
0.142	15.51	58	5.22	40.1
0.142	15.5	57.3	5.09	39.7
0.147	15.07	57.3	4.95	36.8
0.147	15.91	57	5.17	40.2
0.147	15.21	58	5.12	38.5
0.15	16.77	56	5.26	40.5
0.153	14.97	57.5	4.95	39.2
0.153	14.9	60.6	5.475	40.3
0.153	15.28	64	6.26	49.2
0.158	15.7	60.5	5.75	39.5
0.164	14.13	59.9	5.07	39.8
0.164	12.33	55	3.73	37.8
0.167	14.59	59	5.08	39.8
0.169	13.72	60.3	4.99	40.3
0.172	15.25	59	5.31	38
0.172	14.84	58.5	5.08	.
0.172	14.13	60	5.09	39
0.172	14.09	57.5	4.66	36.2
0.177	17.66	61.5	6.68	42
0.177	.	57.5	.	40.4
0.188	17.61	58.5	6.03	41.5
0.191	14.55	61.8	5.56	39.9
0.191	12.78	56.9	4.14	35.7
0.197	13.52	58	4.55	38.3
0.197	14.28	56	4.48	38.3
0.199	15.66	61	5.83	39.9
0.202	13.3	60	4.79	38.2
0.224	16.15	62.5	6.31	40.3
0.243	14.28	62.5	5.58	42
0.246	16.17	60.4	5.9	40.9
0.249	16.67	65.5	7.155	42.4
0.251	14.19	63.2	5.67	42.2
0.251	18.04	60	6.495	38.5
0.251	17.69	57.6	5.87	42.2
0.254	15.66	65.5	6.72	.
0.257	18.23	61.6	6.92	39.6
0.257	17.98	59	6.26	.
0.257	18.59	63	7.38	41.5
0.257	15.94	60	5.74	39.5
0.26	14.65	58	4.93	38.8
0.262	16.66	61	6.2	40.6
0.268	15.62	59.5	5.53	41
0.271	16.31	61.5	6.17	41
0.271	17.37	60.5	6.36	41.6
0.276	15.46	63	6.14	41
0.276	16.45	64	6.74	40.9
0.279	14.9	58.2	5.05	41
0.295	17.29	61.5	6.54	43
0.314	18.59	63	7.38	41.8
0.334	16.25	66.5	7.19	43.6
0.339	15.93	66.7	7.09	43
0.38	17.33	64	7.1	43
0.396	17.4	67.5	7.93	42.3
0.402	16.07	62.1	6.2	42.2
0.405	19.4	64	7.95	44
0.405	16.81	67.5	7.66	44.4
0.465	16.7	64.5	6.95	43.4
0.481	18.98	67.5	8.65	44.8
0.495	18.59	68	8.6	46
0.511	15.76	67.1	7.1	42.5
0.511	17.18	69.5	8.3	44.5
0.511	15.28	69	7.275	43
0.514	14.98	68.5	7.03	43.2
0.522	16.98	67.8	7.81	43
0.547	18.27	71	9.21	43.1
0.55	16.07	67	7.215	43.4
0.555	17.29	67.1	7.785	44.5
0.561	18.34	69.5	8.86	45.5
0.594	17.89	70.8	8.97	45.2
0.626	18.83	70	9.23	46.5
0.654	15.79	71	7.96	45
0.673	17.85	71	9	46.5
0.689	14.52	73	7.74	.
0.703	16.56	68	7.66	44.1
0.706	17.45	73	9.3	46.3
0.714	18.83	76.1	10.91	45
0.717	17.86	67.5	8.14	45.2
0.731	17.14	70.9	8.62	46.4
0.739	15.77	74	8.64	44.1
0.758	18.42	74	10.09	47.2
0.761	17.89	71	9.02	46.3
0.769	19.74	69	9.4	46.6
0.777	16.75	75	9.425	45.5
0.783	16.97	72	8.8	47.5
0.788	17.34	76	10.016	.
0.796	15.57	69.8	7.59	47.5
0.804	16.52	74	9.05	45
0.807	17.32	74.2	9.54	46.4
0.807	17.15	76.2	9.96	45.8
0.81	17.1	75	9.62	46.5
0.829	16.84	64	6.9	44
0.911	17.55	76.7	10.33	45.4
0.917	18.71	74.5	10.39	44.5
0.917	17.22	72.8	9.13	45.7
0.919	17.49	75	9.84	46.8
0.919	18.98	78.5	11.7	47.7
0.925	15.87	78	9.66	46.2
0.95	17.48	74	9.575	48
0.95	18.38	76	10.62	48.2
0.96	16.17	73.5	8.74	44.5
0.969	16.25	84	11.47	49
0.977	18	78.3	11.04	47
0.991	19.44	72.5	10.22	47.5
0.996	17.47	77.1	10.39	47.1
1.004	16.83	77.5	10.11	46
1.007	16.89	74	9.25	47.5
1.021	15.01	68	6.945	46.3
1.021	17.81	77.5	10.7	46.5
1.04	15.48	77.5	9.3	46.3
1.048	17.83	79.5	11.27	49
1.062	19.23	74.1	10.56	.
1.062	18.1	81.2	11.94	46.6
1.086	16.07	74.5	8.92	45.1
1.138	14.97	77	8.88	46
1.171	18.4	77	10.91	45.9
1.182	15.23	78.6	9.41	.
1.188	20.1	81	13.19	49.9
1.19	15.96	78.5	9.84	46.2
1.193	17.01	76.5	9.96	47
1.201	17.84	75.2	10.09	49
1.204	19.47	77.5	11.7	46.6
1.21	16.68	78	10.15	.
1.212	17.31	80	11.08	49.3
1.212	16.37	79	10.22	48.1
1.215	16.36	78.5	10.085	47
1.229	15.8	82.9	10.86	48.5
1.237	15.36	77.5	9.23	46.5
1.24	18.14	83	12.5	48.5
1.242	17.48	76	10.1	46.6
1.242	17.7	76.2	10.28	47.5
1.245	18.28	81	12	48.2
1.248	17.69	82.7	12.1	48.3
1.262	16.29	81.1	10.72	49.2
1.284	14.84	82	9.98	48
1.292	17.14	79	10.7	47.3
1.3	16.31	80	10.44	48.7
1.305	16.3	82.5	11.1	50.5
1.308	15.86	81	10.41	47.3
1.311	16.6	78.5	10.23	45.6
1.426	16.44	77.2	9.8	46
1.456	16.97	87.5	13	48.1
1.481	.	.	12.04	47.5
1.481	16.76	78.7	10.385	47.6
1.486	18.05	80.5	11.7	48
1.492	16.86	84	11.9	47.9
1.494	.	.	11.5	47
1.514	17.22	84.5	12.3	50
1.514	15.78	80	10.1	47
1.522	15.31	77.5	9.2	48.5
1.527	16.69	86.5	12.49	50.7
1.53	16.85	80	10.785	46.1
1.53	.	.	12.4	47.7
1.535	15.01	81	9.85	47.7
1.552	16.56	85	11.97	50
1.579	15.45	85.5	11.3	46.3
1.582	19.56	85.2	14.2	48.6
1.585	.	.	11.7	48
1.598	17.37	85.5	12.7	49.2
1.675	.	.	11	47.2
1.697	.	.	14.4	48.1
1.752	14.6	81.5	9.7	47
1.785	16.43	86.5	12.3	47.1
1.79	17.82	90.2	14.5	51.2
1.793	18.11	86	13.4	47
1.798	15.74	81.8	10.535	46.7
1.801	15.73	85.3	11.45	49
1.826	15.14	83.7	10.61	46.5
1.839	.	.	12.3	49.3
1.845	15.75	88	12.2	48.8
1.848	.	.	13.2	50
1.853	17.26	90.2	14.05	51.5
1.859	17.5	85.5	12.8	48.5
1.867	.	.	15	49.3
1.878	14.75	87.5	11.3	49.5
1.911	.	.	12.4	50.2
1.938	.	.	15.2	.
1.941	17.04	87	12.9	50.5
1.957	.	.	13.4	50
1.96	.	.	11	49.7
1.973	.	.	12.3	48.9
1.979	15.27	89	12.1	49.5
1.979	.	.	11.6	49.1
1.99	.	.	12.9	48.7
1.993	15.92	93.1	13.8	49.3
2.02	16.67	88.3	13	50
2.045	17.17	92.2	14.6	49.3
2.05	17.29	85.7	12.7	46.3
2.088	15.97	90.2	13	48.5
2.113	16.67	94.2	14.8	49.8
2.127	14.65	90.5	12	49.1
2.132	15.97	90.2	13	49.5
2.157	15.53	93.9	13.7	47.6
2.168	13.82	91.2	11.5	48.6
2.173	17.67	91.2	14.7	51.1
2.182	17.91	88.4	14	51.1
2.19	14.81	96.5	13.8	48.7
2.198	16.88	94.2	14.98	51
2.209	16.29	91.7	13.7	48.1
2.228	15.25	91.6	12.8	47.6
2.264	17.54	89	13.9	51.4
2.381	13.73	91.5	11.5	49.9
2.412	16.2	96.2	15	49.9
2.455	17.76	92.5	15.2	50
2.458	18.43	92	15.6	51
2.491	14.29	88.5	11.2	48.8
2.502	19.03	91.1	15.8	49.7
2.507	17.88	97.2	16.9	52.2
2.524	19.24	100.4	19.4	53.2
2.559	13.85	95	12.5	51.4
2.576	14.46	86	10.7	49.5
2.622	15.8	100	15.8	52
2.625	16.83	99	16.5	53
2.672	16.79	97.9	16.1	51.6
2.715	16.66	91	13.8	51
2.866	18.1	94	16	50
2.872	15.88	95.2	14.4	49.8
2.874	15.51	95	14	49.5
2.885	17.71	91.4	14.8	49
2.913	15.57	96.5	14.5	46.2
2.929	14.86	95.3	13.5	51.2
2.956	17.68	102	18.4	.
2.981	15.04	100.5	15.2	50.2
2.989	17.21	95.5	15.7	49.7
3.041	16.46	94.5	14.7	52
3.047	15.61	94	13.8	49.3
3.058	14.92	92.6	12.8	49.3
3.058	14.84	97.8	14.2	47.9
3.06	15.86	102.3	16.6	50.4
3.066	16.33	97.1	15.4	50
3.069	15.99	104.9	17.6	51
3.093	15.19	98.7	14.8	50.7
3.093	15.42	99.6	15.3	52.2
3.099	13.73	99.5	13.6	49.6
3.107	15.12	103.5	16.2	52
3.115	16	100	16	49.7
3.184	15.5	100	15.5	50.3
3.304	15	108	17.5	53.4
3.342	17.92	100.5	18.1	51.3
3.408	15.15	99.5	15	52.2
3.433	17.34	99	17	53
3.583	15.58	101	15.9	49
3.701	16.11	105.1	17.8	52.1
3.707	15.51	98	14.9	49.7
3.72	16.97	105.8	19	51.7
3.731	15.62	104	16.9	53.1
3.745	14.23	106	16	53.5
3.748	16.39	106.5	18.6	50.2
3.75	15.75	106	17.7	50.5
3.761	15.39	111.1	19	51.8
3.827	14.79	99	14.5	52.3
3.89	15.74	104.2	17.1	51.2
3.912	17.97	108.1	21	52.5
3.956	15.98	107	18.3	53.4
3.964	13.31	104.7	14.6	47.6
4.013	14.45	105.2	16	49
4.046	14.97	104.5	16.35	50
4.197	15.43	108	18	51
4.295	15.16	106.5	17.2	49.2
4.383	17.34	106.3	19.6	50.3
5.196	16.93	111.1	20.9	54
5.286	18.47	128.7	30.6	55
5.292	16.4	109.3	19.6	52.4
5.333	14.98	112.9	19.1	53
5.338	18.57	123	28.1	52.5
5.533	14.93	116.3	20.2	50
5.626	16.63	119.1	23.6	53.8
5.637	17.14	128.7	28.4	54.2
5.782	16.11	124.8	25.1	53.8
5.782	15.03	119.6	21.5	53
5.82	.	.	.	.
5.837	14.75	117.3	20.3	54.4
5.935	13.74	119.1	19.5	51.6
6.017	16.94	128.1	27.8	53.3
6.113	17.39	124.6	27	51.5
6.819	14.66	121.1	21.5	51.5
6.841	19.74	125.7	31.2	54.1
7.041	15.85	130.5	27	55
7.17	15.45	133.4	27.5	51
7.252	14.95	118.8	21.1	49.2
7.389	15.93	127.5	25.9	52.3
7.394	24.52	135.9	45.3	52.8
7.419	16.02	131	27.5	53.8
7.501	15.09	132.5	26.5	52.5
7.54	16.27	138	31	50.5
7.6	16.09	148.5	35.5	53.6
7.613	16.32	122.5	24.5	50
7.709	19.85	132	34.6	55.2
7.813	15.72	140.2	30.9	56.5
7.849	24.35	132.1	42.5	55.2
7.885	16.44	133.7	29.4	53.6
7.964	15.3	132.8	27	49.5
8.832	17.24	134.5	31.2	53.4
8.859	19.9	124.8	31	51.6
8.867	18.16	145	38.2	54.8
8.908	15.79	137.8	30	54.7
8.925	18.92	140.2	37.2	55.9
8.977	16.45	123	24.9	53.8
8.999	14.47	136.3	26.9	53.4
9.004	21.08	151.2	48.2	50.5
9.021	14.7	141.4	29.4	53.9
9.021	17.03	132.7	30	53.6
9.034	17.34	139.6	33.8	55
9.119	14.28	140	28	52.1
9.201	13.9	125.8	22	54.4
9.234	18.21	139.8	35.6	53
9.27	16.23	140.4	32	52.3
9.303	15.62	142.2	31.6	51.5
9.316	14.45	147.4	31.4	53.2
9.368	14.7	132.7	25.9	52.7
9.407	14.94	134.4	27	51.8
9.426	17.12	146	36.5	51.4
9.44	17.38	144.9	36.5	53
9.451	14.86	136	27.5	51.4
9.459	15.12	142.7	30.8	51.5
9.511	14.51	144.5	30.3	52.6
9.514	14.12	140.3	27.8	53.1
9.514	16.27	138	31	50.4
9.524	16.47	140.9	32.7	53.4
9.577	17.73	141.1	35.3	53.2
9.582	15.31	134	27.5	51
9.604	16.7	139.7	32.6	53
9.631	14.7	139.7	28.7	53
9.768	14.93	148.2	32.8	55.8
9.834	15.02	142	30.3	53.4
9.869	16.85	141.8	33.9	53.4
9.946	17.98	146.5	38.6	53.6
9.99	16.8	149	37.3	53.7
10.02	16.84	137.2	31.7	54.1
10.028	21.63	148.5	47.7	56
10.108	14.4	148.1	31.6	54.8
10.132	14.75	134	26.5	50.1
10.154	15.76	139.3	30.6	51.5
10.157	17.4	153.1	40.8	56.1
10.16	15.52	148.4	34.2	54.7
10.16	19.78	141.3	39.5	52.4
10.171	17.45	135.2	31.9	53
10.36	19.03	145.7	40.4	56
10.398	15.46	149.8	34.7	51
10.422	15.78	158.8	39.8	54.2
10.447	18.54	148.7	41	55.7
10.477	15.98	142.6	32.5	53
10.499	17.48	148.6	38.6	54.4
10.51	16.38	152.5	38.1	52.7
10.513	15.63	142.6	31.8	52
10.554	18.87	146.3	40.4	53
10.568	16.05	151	36.6	54.4
10.581	16.95	141.2	33.8	53.7
10.713	13.82	137.4	26.1	50.8
10.715	14.49	135.2	26.5	51.3
10.724	14.2	144.1	29.5	50.6
10.88	16.48	148.6	36.4	54.4
10.888	15.64	147	33.8	54
10.945	20.53	149	45.6	56.1
10.954	17.19	145.1	36.2	52.7
10.967	15.67	137.4	29.6	50.5
10.97	17.14	151.2	39.2	53.4
10.992	16	148.5	35.3	52.7
11.003	16.13	134.3	29.1	53.5
11.011	19.96	148.8	44.2	55.4
11.052	15.01	150.7	34.1	52.7
11.126	16.77	139.6	32.7	54.3
11.143	13.69	135.1	25	48.2
11.143	18.86	148.3	41.5	53.7
11.156	16.74	163	44.5	57.8
11.159	23.8	144.5	49.7	57.2
11.222	19.26	151.8	44.4	55.6
11.225	15.6	154	37	52.5
11.288	17.08	159.4	43.4	54.3
11.446	19.29	147.9	42.2	51.4
11.446	18.45	152.8	43.1	55.1
11.482	16.82	148.7	37.2	52.9
11.496	16	156.9	39.4	53.9
11.545	15.89	160.2	40.8	54.8
11.545	18.1	153.2	42.5	54.4
11.583	16.78	154	39.8	54.9
11.605	15.23	155.2	36.7	54.6
11.611	14.82	151	33.8	55
11.655	17.21	160.6	44.4	57.6
11.665	16.33	152.5	38	.
11.665	14.75	144.5	30.8	51.5
11.69	16.07	148	35.2	50.9
11.696	.	.	.	54.2
11.709	16.81	144.7	35.2	52.3
11.728	15.86	149.6	35.5	53.8
11.759	18.23	153.2	42.8	53.4
11.789	16.2	135.4	29.7	54.2
11.791	18.63	152.8	43.5	54.2
11.811	16.34	145.9	34.8	51.8
11.827	14.47	151	33	53
11.874	14.06	152	32.5	52
11.926	18.16	156.5	44.5	53
12.071	15.11	151.1	34.5	55
12.232	19.14	155.5	46.3	57
12.265	17.65	156.6	43.3	58.1
12.292	18.44	145.8	39.2	54.1
12.303	16.89	161.4	44	53.1
12.342	21.96	158.1	54.9	.
12.375	24.68	157.2	61	54
12.377	17.04	149.3	38	.
12.457	20.19	161.4	52.6	53
12.501	18.36	170.5	53.4	56.4
12.52	16.78	162.1	44.1	52.6
12.542	19.06	160.5	49.1	54.4
12.574	19.23	163.8	51.6	56.7
12.583	19.72	163.3	52.6	56.2
12.599	16.23	155	39	52.5
12.629	17.49	163.2	46.6	56.2
12.646	20.23	169.6	58.2	56.6
12.741	26.87	172	79.5	55
12.752	18	150.7	40.9	52
12.766	18.09	167.2	50.6	56.9
12.821	19.33	170.2	56	57.5
12.933	19.07	169.5	54.8	55.7
12.944	16.71	157	41.2	55
12.991	14.06	148.7	31.1	51
12.993	17.4	155.9	42.3	54.3
12.996	16.89	171.5	49.7	55.6
12.996	19.44	158.9	49.1	59
13.002	13.93	156.2	34	.
13.021	18.77	172.4	55.8	57.3
13.108	22.94	164	61.7	55.3
13.127	21.25	175	65.1	58.1
13.127	17.83	180	57.8	55.5
13.13	16.67	156.4	40.8	55.1
13.171	17.33	159.3	44	52.5
13.182	17.25	161.5	45	55.2
13.188	18.89	168.1	53.4	57.3
13.19	17.43	155.4	42.1	53.9
13.275	14.23	161.2	37	53.6
13.3	15.29	165.5	41.9	55.6
13.3	14.99	147.2	32.5	52.1
13.314	15.59	165.1	42.5	53.6
13.374	18.78	160	48.1	55
13.445	18.11	167.8	51	.
13.453	15.92	156.7	39.1	53
13.459	22.47	185.7	77.5	.
13.486	19.09	156.2	46.6	55.6
13.489	15.91	161.3	41.4	56.3
13.5	23.08	161.5	60.2	56.1
13.511	17.78	178.7	56.8	51.9
13.519	17.69	157.5	43.9	.
13.552	18.57	157.7	46.2	54.2
13.555	17.97	159.1	45.5	54.5
13.577	19.37	176.7	60.5	54.9
13.604	19.65	165	53.5	57.7
13.615	17.82	158.9	45	.
13.631	17.13	179	54.9	53.5
13.642	17.25	153.4	40.6	55.6
13.656	16.07	146.9	34.7	55.1
13.656	24.31	175.4	74.8	59.2
13.686	16.19	168.7	46.1	55.4
13.719	18.94	167.4	53.1	57.6
13.749	15.09	155.5	36.5	52.9
13.79	21.01	183.4	70.7	53.4
13.839	17.08	162.1	44.9	52.5
13.842	20.34	160.5	52.4	57.5
13.883	15.49	176.2	48.1	53.9
13.891	17.77	174.6	54.2	55.1
13.894	18.04	161.9	47.3	51.2
